 Timestamp, SHT Temp C°, SHT Temp F°, SHT Hume %, DHT Temp C°, DHT Temp F°, DHT Hume %, I. Calor C°, I. Calor F°, MAX1 Temp C°, MAX1 Temp F°, MAX2 Temp C°, MAX2 Temp F°
Tue Apr  5 18:13:17 2022,18.94,66.15,60.57,19.10,66.38,60.00,18.63,65.54,20.75,69.35,26.50,79.70
Tue Apr  5 18:13:28 2022,18.88,66.07,60.48,19.30,66.74,58.00,18.80,65.84,21.25,70.25,25.50,77.90
Tue Apr  5 18:13:40 2022,18.88,66.09,60.50,19.30,66.74,58.00,18.80,65.84,21.25,70.25,18.75,65.75
Tue Apr  5 18:13:51 2022,18.88,66.06,60.68,19.30,66.74,59.00,18.83,65.89,21.00,69.80,25.25,77.45
Tue Apr  5 18:14:02 2022,18.87,66.06,60.51,19.30,66.74,59.00,18.83,65.89,21.25,70.25,19.25,66.65
Tue Apr  5 18:14:14 2022,18.88,66.07,60.62,19.30,66.74,59.00,18.83,65.89,21.00,69.80,23.25,73.85
Tue Apr  5 18:14:25 2022,18.88,66.06,60.47,19.30,66.74,59.00,18.83,65.89,21.25,70.25,21.50,70.70
Tue Apr  5 18:14:37 2022,18.88,66.07,60.38,19.40,66.92,59.00,18.94,66.08,20.75,69.35,19.50,67.10
Tue Apr  5 18:14:48 2022,18.88,66.06,60.36,19.40,66.92,60.00,18.96,66.13,21.25,70.25,22.75,72.95
Tue Apr  5 18:14:59 2022,18.88,66.09,60.51,19.30,66.74,60.00,18.85,65.93,20.75,69.35,25.50,77.90
